11220000,2,45
11221000,5,44
11221000,8,26
11221000,1,42
11221000,2,43
11222000,1,44
11222000,2,45
11222000,5,44
11222000,8,27
11223000,2,44
11223000,1,46
11223000,5,45
11223000,8,28
11224000,5,45
11224000,1,46
11224000,8,29
11224000,2,45
11225000,5,44
11225000,2,45
11225000,8,29
11225000,1,45
11226000,1,47
11226000,2,45
11226000,5,47
11226000,8,30
11227000,1,47
11227000,2,44
11227000,5,47
11227000,8,28
11228000,1,47
11228000,8,29
11228000,2,45
11228000,5,47
11229000,1,45
11229000,5,46
11229000,8,26
11229000,2,44
11230000,1,48
11230000,5,46
11230000,8,25
11230000,2,47
11231000,1,51
11231000,5,48
11231000,8,28
11231000,2,50
11232000,2,51
11232000,1,52
11232000,8,29
11232000,5,48
11233000,5,49
11233000,8,29
11233000,2,51
11233000,1,55
11234000,2,52
11234000,1,55
11234000,8,31
11234000,5,51
11235000,2,51
11235000,1,55
11235000,8,31
11235000,5,54
11236000,2,53
11236000,5,50
11236000,8,29
11236000,1,56
11237000,2,51
11237000,1,55
11237000,8,30
11237000,5,51
11238000,2,50
11238000,5,55
11238000,1,53
11238000,8,28
11239000,1,55
11239000,5,56
11239000,2,52
11239000,8,28
11240000,5,53
11240000,8,28
11240000,2,54
11240000,1,55
11241000,5,56
11241000,8,28
11241000,1,53
11241000,2,50
11242000,1,55
11242000,8,28
11242000,2,52
11242000,5,55
11243000,2,56
11243000,1,57
11243000,5,56
11243000,8,28
11244000,5,53
11244000,8,28
11244000,2,57
11244000,1,55
11245000,5,51
11245000,8,27
11245000,1,51
11245000,2,56
11246000,2,56
11246000,1,51
11246000,8,28
11246000,5,51
11247000,1,49
11247000,5,52
11247000,2,57
11247000,8,31
11248000,1,49
11248000,8,31
11248000,5,54
11248000,2,59
11249000,2,58
11249000,1,48
11249000,5,56
11249000,8,31
11250000,1,48
11250000,8,31
11250000,5,55
11250000,2,57
11251000,5,55
11251000,1,47
11251000,2,56
11251000,8,31
11252000,5,59
11252000,1,48
11252000,2,56
11252000,8,32
11253000,1,47
11253000,8,31
11253000,5,55
11253000,2,54
11254000,2,56
11254000,5,56
11254000,1,48
11254000,8,30
11255000,2,58
11255000,1,52
11255000,8,28
11255000,5,55
11256000,2,59
11256000,5,57
11256000,8,29
11256000,1,53
11257000,5,57
11257000,8,30
11257000,2,59
11257000,1,56
11258000,1,55
11258000,2,56
11258000,5,57
11258000,8,31
11259000,2,55
11259000,5,59
11259000,8,33
11259000,1,54
11260000,2,55
11260000,5,59
11260000,1,51
11260000,8,29
11261000,5,60
11261000,8,28
11261000,1,51
11261000,2,56
11262000,5,61
11262000,2,55
11262000,1,49
11262000,8,28
11263000,5,64
11263000,8,29
11263000,2,57
11263000,1,50
11264000,1,51
11264000,8,28
11264000,2,58
11264000,5,63
11265000,5,61
11265000,8,28
11265000,2,60
11265000,1,51
11266000,5,60
11266000,1,51
11266000,8,27
11266000,2,60
11267000,5,61
11267000,8,26
11267000,1,47
11267000,2,60
11268000,5,62
11268000,8,26
11268000,1,50
11268000,2,63
11269000,5,58
11269000,1,48
11269000,8,23
11269000,2,61
11270000,5,59
11270000,8,23
11270000,2,60
11270000,1,48
11271000,1,47
11271000,5,60
11271000,8,23
11271000,2,56
11272000,2,56
11272000,5,59
11272000,8,25
11272000,1,47
11273000,1,48
11273000,5,59
11273000,8,27
11273000,2,56
11274000,5,59
11274000,8,27
11274000,1,47
11274000,2,57
11275000,1,47
11275000,5,58
11275000,8,28
11275000,2,57
11276000,1,48
11276000,8,28
11276000,5,59
11276000,2,56
11277000,1,48
11277000,2,51
11277000,5,62
11277000,8,29
11278000,5,63
11278000,8,29
11278000,2,50
11278000,1,48
11279000,1,48
11279000,2,49
11279000,5,66
11279000,8,29
11280000,5,66
11280000,8,31
11280000,2,50
11280000,1,51
11281000,1,49
11281000,5,62
11281000,8,32
11281000,2,50
11282000,5,62
11282000,8,33
11282000,1,52
11282000,2,51
11283000,1,52
11283000,8,31
11283000,5,60
11283000,2,52
11284000,5,60
11284000,8,33
11284000,2,53
11284000,1,51
11285000,5,62
11285000,8,32
11285000,1,51
11285000,2,50
11286000,5,65
11286000,8,32
11286000,1,50
11286000,2,48
11287000,2,48
11287000,5,63
11287000,8,32
11287000,1,50
11288000,2,48
11288000,1,49
11288000,8,32
11288000,5,65
11289000,1,46
11289000,5,62
11289000,2,46
11289000,8,31
11290000,1,49
11290000,8,33
11290000,5,62
11290000,2,50
11291000,1,49
11291000,8,31
11291000,5,61
11291000,2,50
11292000,1,47
11292000,8,31
11292000,5,61
11292000,2,50
11293000,1,48
11293000,5,62
11293000,2,51
11293000,8,32
11294000,5,66
11294000,8,33
11294000,1,47
11294000,2,53
11295000,1,47
11295000,8,33
11295000,5,64
11295000,2,50
11296000,2,49
11296000,5,62
11296000,8,33
11296000,1,46
11297000,5,60
11297000,8,33
11297000,1,44
11297000,2,49
11298000,5,60
11298000,2,51
11298000,8,35
11298000,1,45
11299000,5,61
11299000,1,51
11299000,8,36
11299000,2,54
11300000,5,59
11300000,8,36
11300000,1,50
11300000,2,56
11301000,5,56
11301000,1,49
11301000,8,34
11301000,2,56
11302000,1,49
11302000,5,62
11302000,8,35
11302000,2,55
11303000,1,49
11303000,5,59
11303000,8,35
11303000,2,56
11304000,1,50
11304000,8,35
11304000,5,62
11304000,2,56
11305000,2,56
11305000,1,48
11305000,5,62
11305000,8,34
11306000,1,46
11306000,8,34
11306000,5,64
11306000,2,55
11307000,1,48
11307000,8,32
11307000,2,58
11307000,5,63
11308000,5,64
11308000,8,34
11308000,1,47
11308000,2,58
11309000,5,64
11309000,2,58
11309000,8,35
11309000,1,49
11310000,5,61
11310000,8,32
11310000,2,57
11310000,1,46
11311000,1,46
11311000,2,58
11311000,5,62
11311000,8,34
11312000,1,46
11312000,5,65
11312000,8,34
11312000,2,57
11313000,2,56
11313000,1,48
11313000,5,65
11313000,8,34
11314000,5,67
11314000,1,47
11314000,2,55
11314000,8,32
11315000,5,68
11315000,8,32
11315000,1,47
11315000,2,52
11316000,5,68
11316000,8,34
11316000,1,47
11316000,2,50
11317000,5,66
11317000,1,51
11317000,2,53
11317000,8,35
11318000,2,53
11318000,1,51
11318000,8,38
11318000,5,65
11319000,2,50
11319000,5,65
11319000,8,38
11319000,1,53
11320000,1,54
11320000,8,38
11320000,2,48
11320000,5,63
11321000,5,63
11321000,8,38
11321000,2,50
11321000,1,56
11322000,5,65
11322000,8,39
11322000,1,53
11322000,2,50
11323000,1,54
11323000,2,51
11323000,5,64
11323000,8,38
11324000,5,63
11324000,8,37
11324000,2,50
11324000,1,54
11325000,5,61
11325000,8,38
11325000,2,49
11325000,1,52
11326000,5,60
11326000,8,39
11326000,2,51
11326000,1,53
11327000,1,53
11327000,8,40
11327000,5,60
11327000,2,52
11328000,5,60
11328000,8,39
11328000,1,56
11328000,2,56
11329000,2,56
11329000,1,54
11329000,5,59
11329000,8,38
11330000,1,52
11330000,2,54
11330000,8,36
11330000,5,54
11331000,5,55
11331000,8,37
11331000,2,55
11331000,1,51
11332000,2,55
11332000,1,51
11332000,8,39
11332000,5,56
11333000,5,56
11333000,2,54
11333000,1,50
11333000,8,37
11334000,2,53
11334000,1,50
11334000,8,37
11334000,5,57
11335000,1,49
11335000,2,53
11335000,8,38
11335000,5,60
11336000,5,61
11336000,1,49
11336000,2,51
11336000,8,37
11337000,2,50
11337000,5,62
11337000,1,50
11337000,8,39
11338000,2,52
11338000,1,50
11338000,8,36
11338000,5,59
11339000,5,59
11339000,2,54
11339000,1,51
11339000,8,38
11340000,5,61
11340000,2,54
11340000,8,36
11340000,1,51
11341000,1,49
11341000,8,37
11341000,5,63
11341000,2,53
11342000,5,61
11342000,2,53
11342000,1,47
11342000,8,36
11343000,2,51
11343000,5,62
11343000,8,35
11343000,1,45
11344000,1,43
11344000,8,34
11344000,5,64
11344000,2,51
11345000,2,52
11345000,5,62
11345000,8,32
11345000,1,43
11346000,1,46
11346000,8,33
11346000,2,50
11346000,5,62
11347000,2,54
11347000,1,46
11347000,8,33
11347000,5,60
11348000,5,59
11348000,2,55
11348000,1,49
11348000,8,33
11349000,1,51
11349000,8,35
11349000,2,56
11349000,5,64
11350000,2,54
11350000,1,53
11350000,8,35
11350000,5,64
11351000,2,55
11351000,5,67
11351000,8,37
11351000,1,52
11352000,1,51
11352000,8,36
11352000,5,65
11352000,2,55
11353000,5,66
11353000,1,50
11353000,2,54
11353000,8,36
11354000,5,68
11354000,2,53
11354000,8,36
11354000,1,49
11355000,5,66
11355000,1,53
11355000,8,35
11355000,2,55
11356000,5,64
11356000,8,32
11356000,1,52
11356000,2,55
11357000,5,62
11357000,1,49
11357000,2,54
11357000,8,31
11358000,1,49
11358000,8,31
11358000,5,61
11358000,2,54
